2026-08-24 22:53:30,725 | INFO | app.main | Application shutdown
2026-08-24 22:53:31,630 | INFO | app.main | FastAPI application initialized
2026-08-24 22:53:31,649 | INFO | app.main | API routers initialized
2026-08-24 22:53:31,650 | INFO | app.main | Static files mounted
2026-08-24 22:53:31,650 | INFO | app.main | Application startup
2026-08-24 22:53:31,652 | INFO | app.main | Database tables initialized
2026-08-24 22:53:33,489 | INFO | app.main | Application shutdown
2026-08-24 22:53:34,422 | INFO | app.main | FastAPI application initialized
2026-08-24 22:53:34,442 | INFO | app.main | API routers initialized
2026-08-24 22:53:34,443 | INFO | app.main | Static files mounted
2026-08-24 22:53:34,443 | INFO | app.main | Application startup
2026-08-24 22:53:34,445 | INFO | app.main | Database tables initialized
2026-08-24 22:53:35,635 | INFO | app.main | Application shutdown
2026-08-24 22:53:36,521 | INFO | app.main | FastAPI application initialized
2026-08-24 22:53:36,541 | INFO | app.main | API routers initialized
2026-08-24 22:53:36,542 | INFO | app.main | Static files mounted
2026-08-24 22:53:36,542 | INFO | app.main | Application startup
2026-08-24 22:53:36,544 | INFO | app.main | Database tables initialized
2026-08-24 22:53:38,383 | INFO | app.main | Application shutdown
2026-08-24 22:53:39,278 | INFO | app.main | FastAPI application initialized
2026-08-24 22:53:39,298 | INFO | app.main | API routers initialized
2026-08-24 22:53:39,299 | INFO | app.main | Static files mounted
2026-08-24 22:53:39,299 | INFO | app.main | Application startup
2026-08-24 22:53:39,301 | INFO | app.main | Database tables initialized
2026-08-24 22:53:40,915 | INFO | app.main | Application shutdown
2026-08-24 22:53:41,788 | INFO | app.main | FastAPI application initialized
2026-08-24 22:53:41,808 | INFO | app.main | API routers initialized
2026-08-24 22:53:41,808 | INFO | app.main | Static files mounted
2026-08-24 22:53:41,809 | INFO | app.main | Application startup
2026-08-24 22:53:41,810 | INFO | app.main | Database tables initialized
2026-08-24 22:53:47,626 | INFO | app.main | Application shutdown
2026-08-24 22:53:48,506 | INFO | app.main | FastAPI application initialized
2026-08-24 22:53:48,526 | INFO | app.main | API routers initialized
2026-08-24 22:53:48,526 | INFO | app.main | Static files mounted
2026-08-24 22:53:48,527 | INFO | app.main | Application startup
2026-08-24 22:53:48,528 | INFO | app.main | Database tables initialized
2026-08-24 22:53:50,789 | INFO | app.main | Application shutdown
2026-08-24 22:53:51,700 | INFO | app.main | FastAPI application initialized
2026-08-24 22:53:51,719 | INFO | app.main | API routers initialized
2026-08-24 22:53:51,720 | INFO | app.main | Static files mounted
2026-08-24 22:53:51,721 | INFO | app.main | Application startup
2026-08-24 22:53:51,723 | INFO | app.main | Database tables initialized
2026-08-24 22:53:52,688 | INFO | app.main | Application shutdown
2026-08-24 22:53:53,565 | INFO | app.main | FastAPI application initialized
2026-08-24 22:53:53,585 | INFO | app.main | API routers initialized
2026-08-24 22:53:53,585 | INFO | app.main | Static files mounted
2026-08-24 22:53:53,586 | INFO | app.main | Application startup
2026-08-24 22:53:53,588 | INFO | app.main | Database tables initialized
2026-08-24 22:53:56,708 | INFO | app.main | Application shutdown
2026-08-24 22:53:57,592 | INFO | app.main | FastAPI application initialized
2026-08-24 22:53:57,611 | INFO | app.main | API routers initialized
2026-08-24 22:53:57,612 | INFO | app.main | Static files mounted
2026-08-24 22:53:57,613 | INFO | app.main | Application startup
2026-08-24 22:53:57,614 | INFO | app.main | Database tables initialized
2026-08-24 22:53:59,780 | INFO | app.main | Application shutdown
2026-08-24 22:54:00,674 | INFO | app.main | FastAPI application initialized
2026-08-24 22:54:00,693 | INFO | app.main | API routers initialized
2026-08-24 22:54:00,694 | INFO | app.main | Static files mounted
2026-08-24 22:54:00,695 | INFO | app.main | Application startup
2026-08-24 22:54:00,696 | INFO | app.main | Database tables initialized
2026-08-24 22:54:01,125 | INFO | app.main | Application shutdown
2026-08-24 22:54:02,010 | INFO | app.main | FastAPI application initialized
2026-08-24 22:54:02,029 | INFO | app.main | API routers initialized
2026-08-24 22:54:02,030 | INFO | app.main | Static files mounted
2026-08-24 22:54:02,031 | INFO | app.main | Application startup
2026-08-24 22:54:02,032 | INFO | app.main | Database tables initialized
